（Ａ）乾宫八卦属金
妻财亥水 　妻财亥水　 妻财亥水应 妻财亥水
兄弟丑土 　兄弟丑土应 兄弟丑土　 兄弟丑土
官鬼卯木应 兄弟辰土 　兄弟丑土　 兄弟辰土世
父母巳火 　官鬼寅木　 官鬼卯木世 官鬼寅木
兄弟未土 　妻财子水世 父母巳火　 妻财子水 

雷天大壮 　泽天诀　　 水天需　　 水地比
兄弟戌土 　兄弟未土　 妻财子水　 妻财子水应
子孙申金 　子孙酉金世 兄弟戊土　 兄弟戊土
父母午火世 妻财亥水 　子孙申金世 子孙申金
兄弟辰土 　兄弟辰土 　兄弟辰土　 官鬼卯木世
官鬼寅木 　官鬼寅木应 官鬼寅木　 父母巳火
妻财子水应 妻财子女　 妻财子水应 兄弟未土
